Time,Row Labels,Trips
17,115,231
17,116,833
17,117,1040
17,118,259
17,119,72
17,12,5
17,120,446
17,121,454
17,122,543
17,123,520
17,124,748
17,125,1896
17,126,1311
17,127,440
17,128,296
17,129,208
17,13,14
17,130,702
17,132,461
17,133,257
17,134,983
17,135,3073
17,136,2221
17,137,917
17,138,794
17,139,339
17,14,6
17,140,776
17,141,685
17,142,163
17,143,1413
17,144,2438
17,145,1601
17,146,801
17,147,293
17,148,82
17,149,15
17,15,34
17,150,74
17,151,667
17,152,1076
17,153,1238
17,154,1686
17,155,2128
17,156,2181
17,157,490
17,158,312
17,159,14
17,16,126
17,160,8
17,161,721
17,162,1328
17,163,1588
17,164,830
17,165,80
17,166,821
17,167,604
17,168,580
17,169,195
17,170,751
17,171,38
17,172,599
17,173,660
17,174,1907
17,175,31
17,176,45
17,177,411
17,178,1189
17,179,463
17,180,468
17,182,560
17,183,479
17,184,609
17,185,90
17,186,105
17,187,276
17,188,466
17,189,355
17,190,1081
17,193,340
17,194,448
17,195,423
17,196,183
17,197,627
17,198,268
17,199,1038
17,2,189
17,200,731
17,204,893
17,205,381
17,206,242
17,207,455
17,208,153
17,209,352
17,210,510
17,215,537
17,216,484
17,217,1021
17,218,257
17,219,130
17,22,13
17,220,201
17,225,841
17,226,1139
17,227,687
17,228,21
17,229,72
17,23,0
17,230,587
17,236,205
17,237,405
17,238,31
17,239,7
17,24,41
17,240,342
17,246,739
17,247,1831
17,248,116
17,249,118
17,25,29
17,250,4237
17,26,236
17,3,9
17,32,286
17,33,1
17,34,6
17,35,12
17,36,165
17,37,95
17,38,327
17,4,20
17,42,81
17,43,183
17,44,106
17,45,238
17,46,1074
17,47,194
17,48,6491
17,5,594
17,52,178
17,53,161
17,54,569
17,55,219
17,56,318
17,57,408
17,58,1057
17,59,1842
17,6,2287
17,62,60
17,63,411
17,64,424
17,65,1054
17,66,950
17,67,615
17,68,1099
17,72,71
17,73,411
17,74,146
17,75,171
17,76,608
17,77,395
17,78,681
17,79,504
17,80,4152
17,81,64
17,82,296
17,83,422
17,84,19
17,85,172
17,86,124
17,87,648
17,88,410
17,89,186
17,90,391
17,92,552
17,93,421
17,94,503
17,95,86
17,96,420
17,97,750
17,98,604
17,99,159
18,1,1413
18,100,179
18,101,507
18,102,634
18,103,1593
18,104,436
18,105,322
18,106,1288
18,107,1295
18,108,582
18,109,216
18,110,299
18,111,371
18,112,711
18,113,673
18,114,451
18,115,221
18,116,771
18,117,1047
18,118,175
18,119,70
18,12,4
18,120,333
18,121,369
18,122,353
18,123,466
18,124,642
18,125,2098
18,126,1525
18,127,340
18,128,221
18,129,205
18,13,7
18,130,629
18,132,455
18,133,241
18,134,914
18,135,3438
18,136,2539
18,137,869
18,138,730
